idcvlac,autor,nombre,tipo,verificado,nombre_comercial,contrato_registro,lugar,fecha,palabras,areas,sectores
0000394718,"IVAN DARIO LOPEZ GOMEZ, ALBERTO NARANJO CARVAJAL, JUAN CARLOS ORTIZ PIMIENTA",Dispositivo dosificador prolongado y controlado,Producción técnica - Productos tecnológicos - Otro,False,Dispositivo dosificador prolongado y controlado,,Colombia,2017,,Ciencias Médicas y de la Salud -- Ciencias de la Salud -- Salud Pública,Salud humana - Cuidado a la salud de las personas
0000394718,"ALEXANDER HERNANDEZ MUNOZ, IVAN DARIO LOPEZ GOMEZ, MARIA DEL PILAR NORIEGA ESCOBAR",Superficie para intercambio de sustancias en estado gaseoso,Producción técnica - Productos tecnológicos - Otro,False,Superficie para intercambio de sustancias en estado gaseoso,,Colombia,2017,"Conservación, Preservación, Contenedor, Intercambio de gases, Gaseous substance, Surface for exchanging",Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Alimentos y Bebidas,Fabricación de productos químicos - Fabricación de productos de goma y plásticos
0000394718,"ALEXANDER HERNANDEZ MUNOZ, IVAN DARIO LOPEZ GOMEZ",Sello de sostenibilidad LOOP,Producción técnica - Productos tecnológicos - Otro,False,Sello de sostenibilidad LOOP,,Colombia,2020,,,
0000394718,"JUAN CAMILO ESTEFAN ANGEL, IVAN DARIO LOPEZ GOMEZ, ALEJANDRO SERNA ESCOBAR, GABRIEL JAIME OSORIO HERNANDEZ",Sistema para el monitoreo remoto de gases al interior de contenedores,Producción técnica - Productos tecnológicos - Otro,False,Sistema para el monitoreo remoto de gases al interior de contenedores,,Colombia,2018,"Gases, Contenedor, Monitoreo remoto","Ingeniería y Tecnología -- Ingeniería Ambiental -- Sensores Remotos, Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Otras Ingenierías y Tecnologías","Fabricación de material electrónico y de aparatos y equipos de comunicación - Fabricación de aparatos y equipos de telecomunicación, Logística de transporte, almacenamiento y comunicaciones"
0000394718,"JUAN CAMILO ESTEFAN ANGEL, IVAN DARIO LOPEZ GOMEZ",Dispositivo sensor que permite la medición de concentración de gases al interior de contenedores,Producción técnica - Productos tecnológicos - Otro,False,Dispositivo sensor que permite la medición de concentración de gases al interior de contenedores,,Colombia,2018,"Concentración de gases, Contenedor, Sensor","Ingeniería y Tecnología -- Ingeniería Ambiental -- Sensores Remotos, Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Alimentos y Bebidas, Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Otras Ingenierías y Tecnologías","Fabricación de material electrónico y de aparatos y equipos de comunicación - Fabricación de aparatos y equipos de telecomunicación, Fabricación de material electrónico y de aparatos y equipos de comunicación - Otro"
0000232610,LUIS ERNESTO GARRETA UNIGARRO,Desarrollo de un predictor gráfico altamente configurable para genes de diversos organismos,Producción técnica - Productos tecnológicos - Otro,False,Genezilla-Graphics,,Colombia,2011,"Predicción de genes, Bioinformática",Ciencias Naturales -- Computación y Ciencias de la Información -- Ciencias de la Información y Bioinformática,"Salud humana - Desarrollo de productos tecnológicos para la salud humana, Desarrollo de programas (software) y prestación de servicios en informática - Desarrollo de programas (software)"
0000232610,LUIS ERNESTO GARRETA UNIGARRO,Computational folding pathway analysis for proteins containing beta barrels,Producción técnica - Productos tecnológicos - Otro,False,GeoFold,,Estados Unidos,2013,"Diseño de Proteínas, Bioinformática",Ciencias Naturales -- Computación y Ciencias de la Información -- Ciencias de la Información y Bioinformática,Salud humana - Desarrollo de productos tecnológicos para la salud humana
0000232610,LUIS ERNESTO GARRETA UNIGARRO,"Optimización de la la predicción de genes de organismos eucariotas, aplicando árboles de decisión y redes bayesianas",Producción técnica - Productos tecnológicos - Otro,False,Optimizador de Genezilla-Graphics,,Colombia,2011,"Bioinformática, Predicción de genes, Aprendizaje de Máquina",Ciencias Naturales -- Computación y Ciencias de la Información -- Ciencias de la Información y Bioinformática,Salud humana - Desarrollo de productos tecnológicos para la salud humana
0001420545,MARITZA FERNANDA MERA GAONA,ALGORITMO DE CLASIFICACIÓN DE SEÑALES DE ELECTROENCEFALOGRAFIA Y DATOS CLINICOS PARA SOPORTAR EL DIAGNOSTICO DE LA EPILEPSIA,Producción técnica - Productos tecnológicos - Otro,False,ALGORITMO DE CLASIFICACIÓN DE SEÑALES DE ELECTROENCEFALOGRAFÍA (EEG) Y DATOS CLÍNICOS RELEVANTES PARA SOPORTAR EL DIAGNÓSTICO DE LA EPILEPSIA,,,2019,,,
0000283860,PABLO MAGE IMBACHI,Actualización de la Telegrafía Nacional ATN,Producción técnica - Productos tecnológicos - Otro,False,,,Colombia,1995,,,
