idcvlac,autor,nombre,tipo,verificado,nombre_comercial,contrato_registro,lugar,fecha,palabras,areas,sectores
0000411884,"RICHARD MARCELO IMBACHI CHAVEZ, ANA LORENA URBANO BOJORGE",Sistema de refrigeracion para biologicos,Producción técnica - Prototipo - Industrial,True,,,Colombia,2007,refrigeracion,Ingeniería y Tecnología -- Ingeniería Médica -- Ingeniería Médica,"Fabricación de equipos de instrumentación médico-hospitalarios, instrumentos de precisión y ópticos, equipos para automación industrial, cronómetros y relojes - Fabricación de equipos de instrumentación médico-hospitalar, odontológico y de laboratorios"
0000411884,"RICHARD MARCELO IMBACHI CHAVEZ, ANA LORENA URBANO BOJORGE",Lampara de fototerapia,Producción técnica - Prototipo - Industrial,True,,,Colombia,2006,Fototerapia,Ingeniería y Tecnología -- Ingeniería Médica -- Ingeniería Médica,"Fabricación de equipos de instrumentación médico-hospitalarios, instrumentos de precisión y ópticos, equipos para automación industrial, cronómetros y relojes"
0000411884,"RICHARD MARCELO IMBACHI CHAVEZ, MARIA CAMILA AYALA GIRON, GUSTAVO PEREZ GUERRERO, YINET VANESA HOYOS BOLANOS, SANDRO MAURICIO RAMOS VELASCO",Bioproducto en Bloque BCC para bioconstruccion,Producción técnica - Prototipo - Industrial,False,,,Colombia,2022,"Arquitectura, Innovacion, Logistica, residuos, TRL, UEES","Ingeniería y Tecnología -- Biotecnología Industrial -- Bioproductos (Productos que se Manufacturan Usando Biotecnología), Biomateriales, Bioplásticos, Biocombustibles, Materiales Nuevos Bioderivados, Químicos Finos Bioredivados","Agricultura, pecuaria, silvicultura, explotación forestal - Producción vegetal, Construcción civil, Desarrollo de nuevos materiales, Desarrollo rural, Desarrollo Urbano, Logística de transporte, almacenamiento y comunicaciones"
0000411884,"RICHARD MARCELO IMBACHI CHAVEZ, MARIA CAMILA AYALA GIRON, GUSTAVO PEREZ GUERRERO, YINET VANESA HOYOS BOLANOS, SANDRO MAURICIO RAMOS VELASCO",Bioproducto de Teja para bioconstruccion,Producción técnica - Prototipo - Industrial,False,,,Colombia,2022,"Arquitectura, Innovacion, Logistica, residuos, TRL, UEES","Ingeniería y Tecnología -- Biotecnología Industrial -- Bioproductos (Productos que se Manufacturan Usando Biotecnología), Biomateriales, Bioplásticos, Biocombustibles, Materiales Nuevos Bioderivados, Químicos Finos Bioredivados","Agricultura, pecuaria, silvicultura, explotación forestal - Producción vegetal, Construcción civil, Desarrollo de nuevos materiales, Desarrollo rural, Desarrollo Urbano, Logística de transporte, almacenamiento y comunicaciones, Productos y procesos biotecnológicos - Productos y procesos biotecnológicos vinculados a la agricultura"
0000411884,"SANDRO MAURICIO RAMOS VELASCO, RICHARD MARCELO IMBACHI CHAVEZ, BIOHOGAR",EDIFICACIÓN AMIGABLE CON EL MEDIO AMBIENTE. DISEÑO DE UN MATERIAL CEMENTANTE,Producción técnica - Prototipo - Industrial,False,,,Colombia,2023,"Arquitectura, residuos, TRL, UEES, Innovacion","Ingeniería y Tecnología -- Biotecnología Industrial -- Bioproductos (Productos que se Manufacturan Usando Biotecnología), Biomateriales, Bioplásticos, Biocombustibles, Materiales Nuevos Bioderivados, Químicos Finos Bioredivados, Ingeniería y Tecnología -- Ingeniería Civil -- Ingeniería de la Construcción","Construcción civil, Desarrollo de nuevos materiales, Desarrollo rural, Desarrollo Urbano"
0000411884,RICHARD MARCELO IMBACHI CHAVEZ,Prototipo de Bicicleta electrica de doble tracción,Producción técnica - Prototipo - Industrial,True,,,Colombia,2019,e-bike,,
0000411884,RICHARD MARCELO IMBACHI CHAVEZ,Prototipo de Bicicleta electrica solar ebike solar,Producción técnica - Prototipo - Industrial,True,,,Colombia,2019,"solar, e-bike",Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Ingeniería Industrial,Desarrollo Urbano
0000411884,RICHARD MARCELO IMBACHI CHAVEZ,Prototipo de Bicicleta electrica de carga ebike cargo,Producción técnica - Prototipo - Industrial,True,,,Colombia,2019,e-bike,Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Ingeniería Industrial,"Fabricación y montaje de vehículos automotores - Otro, Fabricación y montaje de vehículos automotores - Fabricación y montaje de autos, camiones, ómnibus y tractores y demás máquinas e implementos agrícolas, remolques y carrocerías, Fabricación de máquinas, aparatos y materialies eléctricos"
0000411884,RICHARD MARCELO IMBACHI CHAVEZ,Prototipo de triciclo electrico para niños ebike,Producción técnica - Prototipo - Industrial,True,,,Colombia,2019,e-bike,Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Ingeniería Industrial,
0000411884,RICHARD MARCELO IMBACHI CHAVEZ,MADERAS AGLOMERADAS DE CAFE,Producción técnica - Prototipo - Industrial,False,,,Colombia,2019,"aglomerados, cafe, Innovacion, residuos, UEES, TRL",Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Ingeniería Industrial,"Desarrollo de nuevos materiales, Agricultura, pecuaria, silvicultura, explotación forestal - Producción vegetal, Desarrollo rural, Construcción civil"
